Stiffness_N_m,Damping_Ns_m,RMS_Acceleration_m_s2,Max_Suspension_Travel_m,Max_Tire_Deflection_m,Max_Dynamic_Tire_Force_N
11000,4500,4.26115010337621,0.0679144106105803,0.0447562744015198,8503.69213628876
12000,4500,4.27086842906016,0.0683653676621865,0.0447685870106296,8506.03153201962
13000,4500,4.28124375233376,0.06879957675402,0.0447838485259679,8508.9312199339
14000,4500,4.29227753126364,0.069217426719099,0.0448020956532414,8512.39817411587
15000,4500,4.30397078042932,0.0696192978795961,0.0448302633071979,8517.75002836759
16000,4500,4.31632407988235,0.0700055622324504,0.0448611976332604,8523.62755031947
17000,4500,4.32933758460056,0.0703765836309223,0.0448948403142581,8530.01965970904
18000,4500,4.34301103406708,0.0707327179621815,0.044932975547551,8537.26535403468
19000,4500,4.35734376178829,0.0710743133210125,0.0449790524720615,8546.01996969169
20000,4500,4.3723347047215,0.0714017101797241,0.0450276508924966,8555.25366957436
21000,4500,4.38798241269873,0.0717152415549404,0.0450787150323424,8564.95585614506
22000,4500,4.40428505800495,0.0720152331671729,0.045135981281723,8575.83644352737
23000,4500,4.42124044530318,0.072304193493084,0.0451989903428582,8587.80816514305
24000,4500,4.43884602209777,0.0725816935534341,0.0452642860661245,8600.21435256366
25000,4500,4.4570988899013,0.0728466706315258,0.0453318170424063,8613.0452380572
10000,4750,4.43632594012644,0.066913072005814,0.0465010132466402,8835.19251686164
11000,4750,4.44483526637474,0.0673456405427358,0.0465088551821135,8836.68248460156
12000,4750,4.45394934252861,0.0677624750893495,0.0465230554441925,8839.38053439657
13000,4750,4.46366986532047,0.0681639322915052,0.0465432922080354,8843.22551952673
14000,4750,4.47399816207669,0.0685503611860141,0.0465662037189316,8847.57870659699
15000,4750,4.48493519605966,0.0689221033621892,0.0465917382945904,8852.43027597217
16000,4750,4.49648157276786,0.0692794931199494,0.0466226880935356,8858.31073777176
17000,4750,4.50863754681388,0.0696228576245635,0.0466602163281533,8865.44110234914
18000,4750,4.52140302909627,0.0699525170581045,0.0467002000765158,8873.03801453799
19000,4750,4.53477759409116,0.0702687847676833,0.0467425874785728,8881.09162092883
20000,4750,4.54876048719111,0.0705719674105295,0.0467897077490015,8890.04447231028
21000,4750,4.56335063209881,0.0708623650959879,0.0468436536032678,8900.29418462087
22000,4750,4.57854663833886,0.071140271524494,0.0468998360565948,8910.968850753
23000,4750,4.59434680898218,0.0714068335479321,0.0469582061678151,8922.05917188487
24000,4750,4.61074914868674,0.0716642287073976,0.0470207611754881,8933.94462334273
25000,4750,4.62775137215091,0.0719100510894046,0.0470902445764489,8947.1464695253
10000,5000,4.61719614797482,0.0663517677309784,0.0481846972970542,9155.09248644031
11000,5000,4.62521048431437,0.0667500329081019,0.0481978533602296,9157.59213844362
12000,5000,4.63378530595045,0.0671361845858464,0.0482135890684418,9160.58192300395
13000,5000,4.64292211596618,0.0675081830887079,0.0482318572324663,9164.0528741686
14000,5000,4.65262211257851,0.0678663426302184,0.0482578218599054,9168.98615338202
15000,5000,4.66288619280049,0.0682109708844231,0.0482876396930656,9174.65154168246
16000,5000,4.67371495691436,0.0685423691211136,0.0483198408499168,9180.7697614842
17000,5000,4.68510871350192,0.068860832338262,0.0483543783848378,9187.33189311918
18000,5000,4.69706748482297,0.0691666493917128,0.0483936266606841,9194.78906552999
19000,5000,4.70959101239502,0.0694601031221912,0.0484393359876678,9203.47383765688
20000,5000,4.72267876269189,0.0697414704796814,0.0484872290191306,9212.57351363482
21000,5000,4.73632993293407,0.0700110226452299,0.0485372598010067,9222.07936219127
22000,5000,4.75054345698471,0.0702690251502269,0.0485893831218289,9231.98279314749
23000,5000,4.76531801139213,0.0705157379932165,0.0486500058474219,9243.50111101017
24000,5000,4.78065202163243,0.0707542062075023,0.0487127955445359,9255.43115346182
25000,5000,4.79654366860666,0.0709827510622935,0.0487775298195231,9267.73066570939
